char_ngram_range,char_max_features,char_min_df,word_ngram_range,word_max_features,word_min_df,word_max_df,loss,alpha,penalty,max_iter,tol,class_weight,val_macro_f1,val_micro_f1,val_subset_acc,seconds
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0005,0.4,modified_huber,0.001,l2,8000,0.0001,balanced,0.6734423326050418,0.7500044909910719,0.4808490786097504,467.65
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0005,0.4,modified_huber,0.001,l2,8000,1e-05,balanced,0.6734418875828116,0.7500359401955147,0.48117564730580825,476.57
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0005,0.6,modified_huber,0.001,l2,8000,0.0001,balanced,0.6733969521722618,0.7500729730336574,0.4809423839514812,1332.56
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0005,0.6,modified_huber,0.001,l2,8000,1e-05,balanced,0.6733461514104816,0.7500123544977111,0.48119119819609674,1066.86
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0005,0.6,modified_huber,0.001,l2,8000,0.0001,balanced,0.6733360284981891,0.7499685698378203,0.48061581525542335,692.01
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0005,0.6,modified_huber,0.001,l2,8000,1e-05,balanced,0.6733000834378462,0.749956203592653,0.4808957312806158,1089.54
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0001,0.4,modified_huber,0.001,l2,8000,1e-05,balanced,0.6725659900817011,0.7501136767797731,0.48041365368167327,878.84
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0001,0.4,modified_huber,0.001,l2,8000,0.0001,balanced,0.6725627146810234,0.7502115021150212,0.48027369566907707,1202.31
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0001,0.6,modified_huber,0.001,l2,8000,0.0001,balanced,0.6724750620650566,0.7502689563592987,0.48046030635253867,1094.91
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0001,0.4,modified_huber,0.001,l2,8000,0.0001,balanced,0.6724732507078658,0.7501597386585552,0.4801492885467693,733.82
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0001,0.6,modified_huber,0.001,l2,8000,0.0001,balanced,0.6724685007840643,0.750221694057699,0.4805536116942695,630.77
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0001,0.4,modified_huber,0.001,l2,8000,1e-05,balanced,0.672445070864751,0.750052894809106,0.4802425938885001,823.53
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0001,0.6,modified_huber,0.001,l2,8000,1e-05,balanced,0.6724250598057839,0.7499797463340865,0.4801181867661924,652.93
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0001,0.6,modified_huber,0.001,l2,8000,1e-05,balanced,0.6723818785340558,0.7499414930961853,0.48002488142446154,1128.02
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0005,0.6,hinge,0.001,l2,8000,0.0001,balanced,0.6513692809808352,0.7038755212187946,0.43606251457895967,439.86
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0005,0.4,hinge,0.001,l2,8000,1e-05,balanced,0.651249524262608,0.7038276539529842,0.43687116087396005,443.77
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0005,0.4,hinge,0.001,l2,8000,0.0001,balanced,0.6512145272955122,0.7037622367517972,0.4364979395070368,431.1
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0005,0.6,hinge,0.001,l2,8000,1e-05,balanced,0.6510335536385469,0.704016541088624,0.43646683772645983,462.87
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0005,0.6,hinge,0.001,l2,8000,0.0001,balanced,0.650966288673833,0.7041061276058117,0.43615581992069047,433.64
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0005,0.6,hinge,0.001,l2,8000,1e-05,balanced,0.6509487116727423,0.7040448393662198,0.43646683772645983,463.32
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0005,0.4,hinge,0.001,l2,8000,1e-05,balanced,0.6508961587155703,0.704172162694469,0.437135526008864,472.39
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0005,0.4,hinge,0.001,l2,8000,0.0001,balanced,0.6508593527889854,0.7040489157431743,0.4367312028613638,445.26
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0001,0.6,hinge,0.001,l2,8000,0.0001,balanced,0.6473022198911759,0.7009031839149393,0.4288935541559754,436.84
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0001,0.4,hinge,0.001,l2,8000,0.0001,balanced,0.6471998074352502,0.7010048891374552,0.4296710986703989,431.92
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0001,0.4,hinge,0.001,l2,8000,0.0001,balanced,0.6471561489923833,0.7006069022734036,0.42932897908405254,429.24
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0001,0.6,hinge,0.001,l2,8000,1e-05,balanced,0.6467717049970352,0.7013361963965102,0.42987326024414896,463.19
